ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,TRANSFERRED_TO_DELIVERY_COUNT,DELIVERED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,DELIVERED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,DELIVERED_DISCOUNT_SUM,DELIVERED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER
55207496963,55207496963,Продажа физлицу,"Тумба напольная Vannika Bliss 70 с раковиной Фостер 70 для ванной комнаты, белая",224.ТН.V.Bliss.КФОС,1,1,19.03.2026,29.03.2026,01.04.2026,Яндекс.Сплит (предоплата),22%,24025,9104,0,0,14921,24025,9104,14921,,,,,,,,,,,,
55225932931,55225932931,Продажа физлицу,"Тумба подвесная Vannika Glad 70 с раковиной Фостер 70 для ванной комнаты, cappuccino",520.ТП.V.Glad.КФОС,1,1,19.03.2026,28.03.2026,11.04.2026,Предоплата,22%,26970,8940,0,0,18030,26970,8940,18030,,,,,,,,,,,,
55325837249,55325837249,Продажа физлицу,"Тумба напольная Vannika Bliss 60 с раковиной Фостер 60 для ванной комнаты, белая",223.ТН.V.Bliss.КФОС,1,1,22.03.2026,24.03.2026,04.04.2026,Предоплата,22%,19255,7676,0,0,11579,19255,7676,11579,,,,,,,,,,,,
55352355585,55352355585,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,1,1,23.03.2026,29.03.2026,01.04.2026,Предоплата,22%,27991,11219,0,0,16772,27991,11219,16772,,,,,,,,,,,,
55369198912,55369198912,Продажа физлицу,"Тумба подвесная Vannika Kanna 60 с раковиной Фостер 60 для ванной комнаты, дуб вотан, графит софт",451.ТП.V.Kanna.КФОС,1,1,24.03.2026,27.03.2026,01.04.2026,Яндекс.Сплит (предоплата),22%,25349,9451,0,0,15898,25349,9451,15898,,,,,,,,,,,,
55394205121,55394205121,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 80 для ванной комнаты, дуб вотан, шкаф витрина",446.ЗШ.V.Bliss.МОД,1,1,25.03.2026,27.03.2026,01.04.2026,Яндекс.Сплит (предоплата),22%,11270,3945,0,0,7325,11270,3945,7325,,,,,,,,,,,,
55398778561,55398778561,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 60 для ванной комнаты, cappuccino",519.ТП.V.Glad,1,1,25.03.2026,26.03.2026,03.04.2026,Предоплата,22%,16830,7060,0,0,9770,16830,7060,9770,,,,,,,,,,,,
55400605059,55400605059,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 50 для ванной комнаты, дуб вотан",443.ЗШ.V.Bliss.МОД,1,1,25.03.2026,26.03.2026,04.04.2026,Предоплата,22%,7280,3525,0,0,3755,7280,3525,3755,,,,,,,,,,,,
55412326339,55412326339,Продажа физлицу,"Тумба подвесная Vannika Kanna 60 с раковиной Фест 60 для ванной комнаты, дуб вотан, графит софт",451.ТП.V.Kanna.КФЕС,1,1,25.03.2026,27.03.2026,05.04.2026,Предоплата,22%,21904,8677,0,90,13137,21904,8767,13137,,,,,,,,,,,,
55412363329,55412363329,Продажа физлицу,"Тумба напольная Vannika Bliss 60 с раковиной Фест 60 для ванной комнаты, графит софт",479.ТН.V.Bliss.РКФЕС,1,1,25.03.2026,01.04.2026,04.04.2026,Предоплата,22%,22650,10413,0,0,12237,22650,10413,12237,,,,,,,,,,,,
