ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,TRANSFERRED_TO_DELIVERY_COUNT,UNREDEEMED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,UNREDEEMED_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,UNREDEEMED_DISCOUNT_SUM,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
56113900803,56113900803,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Фест 80 (комплект) для ванной комнаты, Gold Craft",527.1-1.4.1.РКФЕС,527.1-1.4.1.РКФЕС,1,1,15.04.2026,16.04.2026,,05.05.2026,Предоплата,22%,30249,11026,0,0,19223,30249,11026,19223,,,,,,,,,,,,,,,,,,
56155864320,56155864320,Продажа физлицу,"Тумба напольная SanStar Модена 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",224.1-1.4.1.ККОМ,224.1-1.4.1.ККОМ,1,1,16.04.2026,21.04.2026,,05.05.2026,Предоплата,22%,25501,10850,0,0,14651,25501,10850,14651,,,,,,,,,,,,,,,,,,
56174313218,56174313218,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Универсальный 70 для ванной комнаты, белый",39.1-2.4.1.,391-241,1,1,17.04.2026,18.04.2026,,05.05.2026,При получении,22%,10788,4241,0,0,6547,10788,4241,6547,,,,,,,,,,,,,,,,,,
56190830016,56190830016,Продажа физлицу,"Тумба напольная SanStar Толедо 40 Без раковины для ванной комнаты, Gold Craft",515.1-1.4.1.С,515.1-1.4.1.С,1,1,17.04.2026,19.04.2026,,12.05.2026,При получении,22%,17504,7638,0,0,9866,17504,7638,9866,,,,,,,,,,,,,,,,,,
56194205762,56194205762,Продажа физлицу,Тумба подвесная SanStar Siva 50 с раковиной Фест 50 (комплект) для ванной комнаты Дуб веллингтон табак,432.1-1.4.1.КФЕС,432.1-1.4.1.КФЕС,1,1,18.04.2026,19.04.2026,,12.05.2026,Предоплата,22%,22052,10185,0,0,11867,22052,10185,11867,,,,,,,,,,,,,,,,,,
56243841347,56243841347,Продажа физлицу,"Шкаф-пенал напольно/подвесной SanStar Модена 50 для ванной комнаты, дуб вотан, графит софт",477.1-3.4.1.МОД,477.1-3.4.1.МОД,1,1,19.04.2026,21.04.2026,,26.05.2026,Предоплата,22%,26680,9980,0,0,16700,26680,9980,16700,,,,,,,,,,,,,,,,,,
56243841347,56243841347,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Фостер 80 (комплект) для ванной комнаты, графит софт",481.1-1.4.1.РКФОС,481.1-1.4.1.РКФОС,1,1,19.04.2026,21.04.2026,,26.05.2026,Предоплата,22%,32061,12827,0,0,19234,32061,12827,19234,,,,,,,,,,,,,,,,,,
56254641281,56254641281,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 70 для ванной комнаты Дуб вотан,445.1-2.4.1.,445.1-2.4.1.,1,1,19.04.2026,21.04.2026,,05.05.2026,При получении,22%,9886,5149,0,0,4737,9886,5149,4737,,,,,,,,,,,,,,,,,,
56321048961,56321048961,Продажа физлицу,"Тумба напольная SanStar Квадро 60 с раковиной Фест 60 (комплект) для ванной комнаты, белая",124.1-1.4.1.КФЕС,1241141КФЕС,1,1,22.04.2026,24.04.2026,,05.05.2026,Предоплата,22%,18384,9433,0,0,8951,18384,9433,8951,,,,,,,,,,,,,,,,,,
56349911619,56349911619,Продажа физлицу,Тумба подвесная SanStar Lavanti 60 Без раковины для ванной комнаты Дуб вотан,439.1-1.4.1.,439.1-1.4.1.,1,1,22.04.2026,24.04.2026,,05.05.2026,При получении,22%,12900,5806,0,0,7094,12900,5806,7094,,,,,,,,,,,,,,,,,,
56350167297,56350167297,Продажа физлицу,"Тумба напольная SanStar Diva 100 с раковиной Фостер 100 (комплект) для ванной комнаты, Gold Craft",532.1-1.4.1.КФОС,532.1-1.4.1.КФОС,1,1,22.04.2026,24.04.2026,,05.05.2026,Предоплата,22%,40019,18043,0,0,21976,40019,18043,21976,,,,,,,,,,,,,,,,,,
56350198976,56350198976,Продажа физлицу,"Тумба подвесная SanStar Riana 100 с раковиной Фостер 100 (комплект) для ванной комнаты, грей",505.1-1.4.1.СКФОС,505.1-1.4.1.СКФОС,1,1,22.04.2026,03.05.2026,,21.05.2026,Предоплата,22%,40255,17259,0,0,22996,40255,17259,22996,,,,,,,,,,,,,,,,,,
56350198976,56350198976,Продажа физлицу,"Шкаф-пенал подвесной SanStar Riana для ванной комнаты, грей",506.1-3.4.1.,506.1-3.4.1.,1,1,22.04.2026,03.05.2026,,21.05.2026,Предоплата,22%,26379,9827,0,0,16552,26379,9827,16552,,,,,,,,,,,,,,,,,,
56381611395,56381611395,Продажа физлицу,"Тумба подвесная SanStar Велья 60 Без раковины для ванной комнаты, белая",61.2-1.4.1.,612-141,1,1,23.04.2026,25.04.2026,,12.05.2026,Предоплата,22%,13593,4590,0,0,9003,13593,4590,9003,,,,,,,,,,,,,,,,,,
56397047488,56397047488,Продажа физлицу,"Шкаф напольный SanStar Diva для стиральной машины для ванной комнаты белый, дуб вотан",497.1-3.4.1.,497.1-3.4.1.,1,1,24.04.2026,27.04.2026,,28.05.2026,Предоплата,22%,25006,11071,0,0,13935,25006,11071,13935,,,,,,,,,,,,,,,,,,
56397047488,56397047488,Продажа физлицу,"Тумба подвесная SanStar Diva 100 с раковиной Фостер 100 (комплект) для ванной комнаты, Gold Craft",537.1-1.4.1.КФОС,537.1-1.4.1.КФОС,1,1,24.04.2026,27.04.2026,,28.05.2026,Предоплата,22%,37626,14448,0,0,23178,37626,14448,23178,,,,,,,,,,,,,,,,,,
56407448962,56407448962,Продажа физлицу,"Тумба подвесная SanStar Diva 70 с раковиной Como 70 (комплект) для ванной комнаты, Gold Craft",535.1-1.4.1.ККОМ,535.1-1.4.1.ККОМ,1,1,24.04.2026,27.04.2026,,07.05.2026,Предоплата,22%,28241,12549,0,0,15692,28241,12549,15692,,,,,,,,,,,,,,,,,,
56413457472,56413457472,Продажа физлицу,"Тумба подвесная SanStar Riana 50 с раковиной Фостер 50 (комплект) для ванной комнаты, cappuccino",518.1-1.4.1.КФОС,518.1-1.4.1.КФОС,1,1,25.04.2026,26.04.2026,,18.05.2026,При получении,22%,27018,10943,0,0,16075,27018,10943,16075,,,,,,,,,,,,,,,,,,
56418955394,56418955394,Продажа физлицу,Зеркальный шкаф подвесной SanStar Graffa 80 для ванной комнаты Дуб вотан,446.1-2.4.1.ЛАВ,446.1-2.4.1.ЛАВ,1,1,25.04.2026,26.04.2026,,07.05.2026,Яндекс.Сплит (предоплата),22%,10193,4841,0,150,5202,10193,4991,5202,,,,,,,,,,,,,,,,,,
