ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
55355979970,55355979970,Продажа физлицу,"Тумба подвесная Vannika Glad 80 с раковиной Фест 80 для ванной комнаты, cappuccino",521.ТП.V.Glad.КФЕС,0,1,23.03.2026,25.03.2026,28.03.2026,26.04.2026,Предоплата,22%,30037,9211,0,0,20826,30037,9211,20826,,,,,,,,,,,,,,,,,,
55398778561,55398778561,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 60 для ванной комнаты, cappuccino",519.ТП.V.Glad,1,1,25.03.2026,26.03.2026,03.04.2026,26.04.2026,Предоплата,22%,16830,7060,0,0,9770,16830,7060,9770,,,,,,,,,,,,,,,,,,
55450224771,55450224771,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,1,1,26.03.2026,31.03.2026,02.04.2026,22.04.2026,Предоплата,22%,27668,10711,0,0,16957,27668,10711,16957,,,,,,,,,,,,,,,,,,
55649619585,55649619585,Продажа физлицу,"Тумба подвесная Vannika Glad 100 с раковиной Гармония 100 для ванной комнаты, белая",309.ТП.V.Glad.КГАР,1,1,01.04.2026,03.04.2026,04.04.2026,29.04.2026,Предоплата,22%,48366,17314,0,0,31052,48366,17314,31052,,,,,,,,,,,,,,,,,,
55783273986,55783273986,Продажа физлицу,"Шкаф-зеркало Vannika Kanna 70 для ванной комнаты, дуб вотан",445.ЗШ.V.Kanna.ЛАВ,1,1,05.04.2026,06.04.2026,12.04.2026,19.04.2026,При получении,22%,8749,3646,0,0,5103,8749,3646,5103,,,,,,,,,,,,,,,,,,
55843673408,55843673408,Продажа физлицу,"Тумба напольная без раковины Vannika Bliss 70 для ванной комнаты, белая, дуб вотан",485.ТН.V.Bliss.Р,1,1,07.04.2026,09.04.2026,10.04.2026,16.04.2026,Предоплата,22%,16500,6003,0,0,10497,16500,6003,10497,,,,,,,,,,,,,,,,,,
56112061762,56112061762,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,1,0,15.04.2026,16.04.2026,18.04.2026,27.04.2026,Предоплата,22%,26759,12920,0,0,13839,0,0,0,,,,,,,,,,,,,,,,,,
