ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,TRANSFERRED_TO_DELIVERY_COUNT,UNREDEEMED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,UNREDEEMED_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,UNREDEEMED_DISCOUNT_SUM,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
54847215746,54847215746,Продажа физлицу,"Тумба напольная Vannika Bliss 70 с раковиной Фостер 70 для ванной комнаты, белая",224.ТН.V.Bliss.КФОС,1,1,07.03.2026,12.03.2026,,13.04.2026,Предоплата,22%,23252,8620,0,0,14632,23252,8620,14632,,,,,,,,,,,,,,,,,,
55422235329,55422235329,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 70 для ванной комнаты, cappuccino",520.ТП.V.Glad,1,1,25.03.2026,27.03.2026,,07.04.2026,При получении,22%,17732,8370,0,0,9362,17732,8370,9362,,,,,,,,,,,,,,,,,,
55447481025,55447481025,Продажа физлицу,"Тумба подвесная Vannika Kanna 70 с раковиной Фостер 70 для ванной комнаты, дуб вотан, графит софт",T.KANNA.П-70П-SET-FOS,1,1,26.03.2026,27.03.2026,,07.04.2026,Предоплата,22%,25749,10112,0,1732,13905,25749,11844,13905,,,,,,,,,,,,,,,,,,
55543757506,55543757506,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 60 для ванной комнаты, дуб вотан",444.ЗШ.V.Bliss.МОД,1,1,29.03.2026,30.03.2026,,07.04.2026,При получении,22%,7048,3069,0,0,3979,7048,3069,3979,,,,,,,,,,,,,,,,,,
55543757506,55543757506,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 70 для ванной комнаты, дуб вотан",445.ЗШ.V.Bliss.МОД,1,1,29.03.2026,30.03.2026,,07.04.2026,При получении,22%,8066,3565,0,0,4501,8066,3565,4501,,,,,,,,,,,,,,,,,,
55585836738,55585836738,Продажа физлицу,"Тумба напольная без раковины Vannika Bliss 60 для ванной комнаты, белая",223.ТН.V.Bliss,1,1,31.03.2026,01.04.2026,,13.04.2026,Яндекс.Сплит (предоплата),22%,12303,738,0,0,11565,12303,738,11565,,,,,,,,,,,,,,,,,,
55666902530,55666902530,Продажа физлицу,"Шкаф-пенал напольно/подвесной Vannika Bliss для ванной комнаты, дуб вотан, графит софт",476.ШП.V.Bliss.МОД,1,1,02.04.2026,03.04.2026,,07.04.2026,Предоплата,22%,19335,7502,0,0,11833,19335,7502,11833,,,,,,,,,,,,,,,,,,
55666902530,55666902530,Продажа физлицу,"Шкаф-зеркало Vannika Canto 70 для ванной комнаты, дуб вотан",445.ЗШ.V.Canto.ДИВ,1,1,02.04.2026,03.04.2026,,07.04.2026,Предоплата,22%,8787,3964,0,0,4823,8787,3964,4823,,,,,,,,,,,,,,,,,,
55730413506,55730413506,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,1,1,04.04.2026,06.04.2026,,16.04.2026,Предоплата,22%,26982,11505,0,0,15477,26982,11505,15477,,,,,,,,,,,,,,,,,,
55751862913,55751862913,Продажа физлицу,"Тумба подвесная Vannika Rinni 50 с раковиной Como 50 для ванной комнаты, дуб вотан",432.ТП.V.Rinni.ВККОМ,1,1,04.04.2026,05.04.2026,,19.04.2026,Предоплата,22%,22236,7011,0,0,15225,22236,7011,15225,,,,,,,,,,,,,,,,,,
55797361089,55797361089,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 60 для ванной комнаты, дуб вотан",444.ЗШ.V.Bliss.МОД,1,1,06.04.2026,07.04.2026,,13.04.2026,Предоплата,22%,7823,3273,0,0,4550,7823,3273,4550,,,,,,,,,,,,,,,,,,
55844105538,55844105538,Продажа физлицу,"Тумба напольная без раковины Vannika Bliss 60 для ванной комнаты, белая",223.ТН.V.Bliss,1,1,07.04.2026,09.04.2026,,16.04.2026,Предоплата,22%,12318,1778,0,0,10540,12318,1778,10540,,,,,,,,,,,,,,,,,,
55873015555,55873015555,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 100 для ванной комнаты, cappuccino",522.ТП.V.Glad,1,1,08.04.2026,09.04.2026,,16.04.2026,Предоплата,22%,21927,8916,0,0,13011,21927,8916,13011,,,,,,,,,,,,,,,,,,
55983381827,55983381827,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 80 для ванной комнаты, дуб вотан, шкаф витрина",446.ЗШ.V.Bliss.МОД,1,1,11.04.2026,13.04.2026,,13.04.2026,Предоплата,22%,9120,4412,0,0,4708,9120,4412,4708,,,,,,,,,,,,,,,,,,
55983381827,55983381827,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Фостер 80 для ванной комнаты, графит софт",481.ТН.V.Bliss.РКФОС,1,1,11.04.2026,13.04.2026,,13.04.2026,Предоплата,22%,30554,14089,0,0,16465,30554,14089,16465,,,,,,,,,,,,,,,,,,
55983381827,55983381827,Продажа физлицу,"Шкаф для стиральной машины напольный Vannika Bliss для ванной комнаты, дуб вотан, графит софт",455.ШДС.V.Bliss.МОД,1,1,11.04.2026,13.04.2026,,13.04.2026,Предоплата,22%,23832,9330,0,0,14502,23832,9330,14502,,,,,,,,,,,,,,,,,,
56080925634,56080925634,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 50 для ванной комнаты, дуб вотан",443.ЗШ.V.Bliss.МОД,1,1,14.04.2026,15.04.2026,,29.04.2026,При получении,22%,6685,2858,0,0,3827,6685,2858,3827,,,,,,,,,,,,,,,,,,
56084331200,56084331200,Продажа физлицу,"Шкаф-зеркало Vannika Kanna 70 для ванной комнаты, дуб вотан",445.ЗШ.V.Kanna.ЛАВ,1,1,14.04.2026,16.04.2026,,16.04.2026,Яндекс.Сплит (предоплата),22%,8227,3534,0,0,4693,8227,3534,4693,,,,,,,,,,,,,,,,,,
56101487746,56101487746,Продажа физлицу,"Тумба напольная Vannika Flavia 50 с раковиной Moduo 50 для ванной комнаты, белая",210.ТН.V.Flavia.КМОД,1,0,15.04.2026,16.04.2026,,27.04.2026,Предоплата,22%,20432,8270,0,0,12162,0,0,0,,,,,,,,,,,,,,,,,,
56173708290,56173708290,Продажа физлицу,Зеркало с подсветкой универсальное Vannika Mile 60 для ванной комнаты,318.ЗРКЛ.V.Mile,1,1,17.04.2026,18.04.2026,,19.04.2026,Предоплата,22%,14958,6410,0,0,8548,14958,6410,8548,,,,,,,,,,,,,,,,,,
56255367299,56255367299,Продажа физлицу,"Тумба напольная Vannika Canto 70 с раковиной Фостер 70 для ванной комнаты, дуб вотан, графит софт",459.ТН.V.Canto.КФОС,1,1,19.04.2026,22.04.2026,,26.04.2026,Предоплата,22%,30183,15159,0,0,15024,30183,15159,15024,,,,,,,,,,,,,,,,,,
56294290432,56294290432,Продажа физлицу,"Тумба подвесная Vannika Vastra 80 с раковиной Фест 80 для ванной комнаты, дуб вотан",441.ТП.V.Vastra.КФЕС,1,1,21.04.2026,22.04.2026,,30.04.2026,Предоплата,22%,27707,12332,0,0,15375,27707,12332,15375,,,,,,,,,,,,,,,,,,
56294290432,56294290432,Продажа физлицу,"Шкаф-пенал подвесной Vannika Vastra для ванной комнаты, дуб вотан",437.ШП.V.Vastra,1,1,21.04.2026,22.04.2026,,30.04.2026,Предоплата,22%,13672,5718,0,0,7954,13672,5718,7954,,,,,,,,,,,,,,,,,,
