ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
56419420033,56419420033,Продажа физлицу,"Тумба подвесная SanStar Graffa 60 с раковиной Фостер 60 (комплект) для ванной комнаты Дуб вотан, графит софт",451.1-1.4.1.КФОС,451.1-1.4.1.КФОС,0,1,25.04.2026,26.04.2026,29.04.2026,18.05.2026,Предоплата,22%,21297,9206,0,0,12091,21297,9206,12091,,,,,,,,,,,,,,,,,,
56423150339,56423150339,Продажа физлицу,"Тумба напольная SanStar Diva 70 с раковиной Фостер 70 (комплект) для ванной комнаты белый, Дуб вотан",489.1-1.4.1.РКФОС,489.1-1.4.1.РКФОС,1,1,25.04.2026,29.04.2026,03.05.2026,12.05.2026,Предоплата,22%,30933,11689,0,0,19244,30933,11689,19244,,,,,,,,,,,,,,,,,,
56423299395,56423299395,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 70 для ванной комнаты Дуб вотан,445.1-2.4.1.,445.1-2.4.1.,1,1,25.04.2026,29.04.2026,03.05.2026,12.05.2026,Предоплата,22%,9886,4498,0,1930,3458,9886,6428,3458,,,,,,,,,,,,,,,,,,
56436372417,56436372417,Продажа физлицу,"Тумба подвесная SanStar Riana 50 с раковиной Фостер 50 (комплект) для ванной комнаты, грей",501.1-1.4.1.КФОС,501.1-1.4.1.КФОС,0,1,25.04.2026,27.04.2026,28.04.2026,05.05.2026,Предоплата,22%,25453,9559,0,0,15894,25453,9559,15894,,,,,,,,,,,,,,,,,,
56447553666,56447553666,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 60 для ванной комнаты Дуб вотан,444.1-2.4.1.ДИВ,444.1-2.4.1.ДИВ,0,1,26.04.2026,27.04.2026,28.04.2026,07.05.2026,Предоплата,22%,8833,4051,0,65,4717,8833,4116,4717,,,,,,,,,,,,,,,,,,
56461727363,56461727363,Продажа физлицу,"Шкаф-пенал универсальный SanStar Линни для ванной комнаты, белый",276.1-3.4.1.КАС,276.1-3.4.1.КАС,0,1,26.04.2026,27.04.2026,28.04.2026,18.05.2026,Предоплата,22%,16081,6349,0,0,9732,16081,6349,9732,,,,,,,,,,,,,,,,,,
56463992064,56463992064,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 70 для ванной комнаты, белый",175.1-2.4.1.АДЕ,1751241АДЕ,1,1,26.04.2026,27.04.2026,03.05.2026,21.05.2026,Предоплата,22%,10664,5181,0,0,5483,10664,5181,5483,,,,,,,,,,,,,,,,,,
56467931841,56467931841,Продажа физлицу,"Тумба напольная SanStar Diva 100 Без раковины для ванной комнаты, Gold Craft",532.1-1.4.1.,532.1-1.4.1.,1,1,26.04.2026,05.05.2026,10.05.2026,26.05.2026,Предоплата,22%,24622,8974,0,0,15648,24622,8974,15648,,,,,,,,,,,,,,,,,,
56516667392,56516667392,Продажа физлицу,"Тумба подвесная SanStar Велья 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",136.1-1.4.1.ККОМ,136.1-1.4.1.ККОМ,1,0,28.04.2026,29.04.2026,03.05.2026,18.05.2026,Предоплата,22%,25470,12405,0,0,13065,0,0,0,,,,,,,,,,,,,,,,,,
56544249856,56544249856,Продажа физлицу,"Тумба напольная SanStar Линни 60 с раковиной Клермонт 60 (комплект) для ванной комнаты, белая",415.1-1.4.1.ККЛЕ,415.1-1.4.1.ККЛЕ,1,1,29.04.2026,30.04.2026,04.05.2026,12.05.2026,Яндекс.Сплит (предоплата),22%,20489,9654,0,0,10835,20489,9654,10835,,,,,,,,,,,,,,,,,,
56561142720,56561142720,Продажа физлицу,"Тумба напольная SanStar Darko 50 с раковиной Даллас 110 правый (комплект) для ванной комнаты Дуб вотан, графит софт",430.1-1.4.1.КПДАЛ,430.1-1.4.1.КПДАЛ,1,1,29.04.2026,30.04.2026,06.05.2026,26.05.2026,Яндекс.Сплит (предоплата),22%,40046,18023,0,0,22023,40046,18023,22023,,,,,,,,,,,,,,,,,,
56563948032,56563948032,Продажа физлицу,"Тумба напольная SanStar Адель 50 с раковиной Фостер 50 (комплект) для ванной комнаты, белая",210.1-1.4.1.К,2101141К,1,1,29.04.2026,30.04.2026,02.05.2026,18.05.2026,Яндекс.Сплит (предоплата),22%,21338,8389,0,0,12949,21338,8389,12949,,,,,,,,,,,,,,,,,,
