advert_id;date;app_type;nm_id;nm_name;views;clicks;ctr;cpc;atbs;orders;shks;sum;sum_price;cr;canceled
33983804;2026-04-04;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;51;1;1,9600;22,4500;1;0;0;22,4500;0,0000;0,0000;0
33983804;2026-04-04;1;385558823;Шкаф зеркало для ванной навесной LEVI 50;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
33983804;2026-04-04;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;296;9;3,0400;14,4100;1;0;0;129,6500;0,0000;0,0000;0
33983804;2026-04-04;64;385558372;Тумба Levi 60 с раковиной Foster 60 подвесная в ванную;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
33983804;2026-04-09;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;72;0;0,0000;0,0000;0;0;0;31,7500;0,0000;0,0000;0
33983804;2026-04-09;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;320;1;0,3100;140,0100;0;0;0;140,0100;0,0000;0,0000;0
33983804;2026-04-09;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;374;8;2,1400;20,4000;1;0;0;163,1800;0,0000;0,0000;0
33983804;2026-04-02;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;250;5;2,0000;21,9700;2;0;0;109,8600;0,0000;0,0000;0
33983804;2026-04-02;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;233;4;1,7200;25,5800;0;0;0;102,3100;0,0000;0,0000;0
33983804;2026-04-02;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;42;1;2,3800;18,4800;0;0;0;18,4800;0,0000;0,0000;0
33983804;2026-04-07;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;63;0;0,0000;0,0000;0;0;0;27,6900;0,0000;0,0000;0
33983804;2026-04-07;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;428;7;1,6400;26,7900;0;0;0;187,5300;0,0000;0,0000;0
33983804;2026-04-07;32;385558325;Тумба Levi 50 с раковиной Фест 50 подвесная в ванную;0;0;0,0000;0,0000;2;0;0;0,0000;0,0000;0,0000;0
