advert_id;date;app_type;nm_id;nm_name;views;clicks;ctr;cpc;atbs;orders;shks;sum;sum_price;cr;canceled
32443853;2026-03-27;32;316790461;Тумба напольная FAME 60 с раковиной Фест 60;4380;229;5,2300;12,3400;25;5;5;2827,0000;95690,0000;2,1800;2
32443853;2026-03-27;32;559760281;Тумба напольная Fame 60 с раковиной Фостер 60;0;0;0,0000;0,0000;1;1;1;0,0000;19008,0000;0,0000;0
32443853;2026-03-27;32;316790456;Тумба напольная FAME 60 с раковиной Foster 60;0;0;0,0000;0,0000;5;1;1;0,0000;19352,0000;0,0000;0
32443853;2026-03-27;32;549216126;Шкаф зеркало для ванной навесной FAME 60;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;316790449;Тумба напольная FAME 70 с раковиной Foster 70;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;316790426;Тумба напольная FAME 50 с раковиной Фест 50;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;318213405;Шкаф-пенал универсальный FAME для ванной комнаты;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;392094977;Тумба напольная FAME 60 с раковиной Фест 60;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;559760240;Тумба напольная Fame 60 с раковиной Фест 60;0;0;0,0000;0,0000;3;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;318213432;Зеркальный шкаф подвесной FAME 70 для ванной комнаты;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;318213402;Зеркальный шкаф подвесной FAME 80 для ванной комнаты;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;316790452;Тумба напольная FAME 60 Без раковины для ванной;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;32;318213418;Зеркальный шкаф подвесной FAME 60 для ванной комнаты;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;1;316790461;Тумба напольная FAME 60 с раковиной Фест 60;435;15;3,4500;21,3600;3;1;1;320,3400;19138,0000;6,6700;0
32443853;2026-03-27;64;316790461;Тумба напольная FAME 60 с раковиной Фест 60;2630;88;3,3500;21,9900;13;0;0;1935,2300;0,0000;0,0000;0
32443853;2026-03-27;64;316790430;Тумба напольная FAME 80 с раковиной Фест 80;0;0;0,0000;0,0000;1;2;2;0,0000;45830,0000;0,0000;0
32443853;2026-03-27;64;392094951;Тумба напольная FAME 70 с раковиной Foster 70;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;64;317320980;Тумба подвесная HOLY 50 Без раковины для ванной;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;64;316790456;Тумба напольная FAME 60 с раковиной Foster 60;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;64;392094960;Тумба подвесная GRACE 60 с раковиной Фест 60;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
32443853;2026-03-27;64;392095021;Тумба напольная FAME 60 с раковиной Фест 60;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
