BUSINESS_ID,MODEL,PARTNER_ID,SHOP_NAME,INN,PLACEMENT_CONTRACT,PROMOTION_CONTRACT,TRANSACTION_DATE,TRANSACTION_ID,ORDER_ID,SHOP_ORDER_ID,ORDER_CREATION_DATE,ORDER_DELIVERY_DATE,CLAIM_NUMBER,ORDER_TYPE,SHOP_SKU,ACT_ID,ACT_DATE,OFFER_OR_SERVICE_NAME,COUNT,TRANSACTION_SUM,TRANSACTION_TYPE,TRANSACTION_SOURCE,PAYMENT_STATUS,BONUS_ACCOUNT_YEAR_MONTH,COMMENTS,BANK_ORDER_DATE,BANK_ORDER_ID,BANK_SUM
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,23.02.2026 10:58,,54474792641,54474792641,23.02.2026 10:57,,,Продажа физлицу,495.1-1.4.1.РКФОС,,,"Тумба подвесная SanStar Diva 80 с раковиной Фостер 80 (комплект) для ванной комнаты белый, дуб вотан",1,14926,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,22.02.2026 05:11,,54005428483,54005428483,08.02.2026 21:53,,,Продажа физлицу,276.1-3.4.1.КАС,,,"Шкаф-пенал универсальный SanStar Линни для ванной комнаты, белый",1,-7062,Возврат,Возврат платежа покупателя,Не будет удержан из-за отмены заказа,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,22.02.2026 15:06,,54411848192,54411848192,21.02.2026 06:31,,,Продажа физлицу,494.1-1.4.1.РКМИР,,,"Тумба подвесная SanStar Diva 70 с раковиной Миранда 70 (комплект) для ванной комнаты белый, дуб вотан",1,14560,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,21.02.2026 11:43,,53909108545,53909108545,05.02.2026 19:59,11.02.2026 19:22,,Продажа физлицу,520.1-1.4.1.КФОС,,,"Тумба подвесная SanStar Riana 70 с раковиной Фостер 70 (комплект) для ванной комнаты, cappuccino",1,-18774,Возврат,Возврат платежа покупателя,Будет удержан из платежей покупателей,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,20.02.2026 13:22,,54263722433,54263722433,16.02.2026 13:18,24.02.2026 10:53,,Продажа физлицу,486.1-1.4.1.РКФОС,,,"Тумба напольная SanStar Модена 80 с раковиной Фостер 80 (комплект) для ванной комнаты, белая, дуб вотан",1,15677,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,21.02.2026 10:56,,54417038403,54417038403,21.02.2026 10:55,,,Продажа физлицу,443.1-2.4.1.ЛАВ,,,Зеркальный шкаф подвесной SanStar Graffa 50 для ванной комнаты Дуб вотан,1,3927,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,23.02.2026 16:13,,54027025411,54027025411,09.02.2026 16:26,,,Продажа физлицу,285.1-1.4.1.СККВА,,,"Тумба подвесная SanStar Ориана 60 с раковиной Квадро 60 (комплект) для ванной комнаты, белая",1,-10931,Возврат,Возврат платежа покупателя,Не будет удержан из-за отмены заказа,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,22.02.2026 00:18,,54439539970,54439539970,22.02.2026 00:14,,,Продажа физлицу,515.1-1.4.1.РКЛДАЛ,,,"Тумба напольная SanStar Толедо 40 с раковиной Даллас 100 левый для ванной комнаты, Gold Craft",1,20636,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,23.02.2026 18:11,,54487441408,54487441408,23.02.2026 18:10,,,Продажа физлицу,527.1-1.4.1.РКФЕС,,,"Тумба напольная SanStar Модена 80 с раковиной Фест 80 (комплект) для ванной комнаты, Gold Craft",1,20336,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
918462,FBS,1102099,Санстар,9718089393,1938223/21,ОФ-1543621,22.02.2026 14:18,,54452773891,54452773891,22.02.2026 14:15,,,Продажа физлицу,516.1-1.4.1.Р,,,"Тумба напольная SanStar Толедо 50 Без раковины для ванной комнаты, Gold Craft",1,11964,Начисление,Платёж покупателя,Будет переведён по графику выплат,,,,,
